month,language,n_questions,avg_score,avg_views,pct_answered
2025-09-01,javascript,267,0.28,139.1,55.8
2025-10-01,javascript,248,0.66,149.4,50.8
2025-11-01,javascript,273,0.62,138.0,55.3
2025-12-01,javascript,182,0.59,154.8,59.3
2026-01-01,javascript,200,0.67,162.0,59.5
2026-02-01,javascript,131,0.5,107.5,57.3
2024-04-01,typescript,1000,0.75,580.3,51.8
2024-05-01,typescript,1000,0.76,492.2,55.3
2024-06-01,typescript,872,0.69,508.1,51.1
2024-07-01,typescript,873,0.67,397.6,50.6
2024-08-01,typescript,793,0.67,486.3,49.4
2024-09-01,typescript,699,0.59,399.4,50.5
2024-10-01,typescript,576,0.73,520.8,57.3
2024-11-01,typescript,594,0.76,641.0,51.7
2024-12-01,typescript,482,0.78,343.3,47.7
2025-01-01,typescript,511,0.74,277.0,50.3
2025-02-01,typescript,424,0.62,282.8,53.3
2025-03-01,typescript,397,0.62,232.8,50.6
2025-04-01,typescript,336,0.65,264.4,50.3
2025-05-01,typescript,308,0.79,189.8,48.7
2025-06-01,typescript,207,0.74,185.0,46.9
2025-07-01,typescript,179,0.77,243.1,45.8
2025-08-01,typescript,178,0.72,169.4,44.4
2025-09-01,typescript,139,0.66,210.5,47.5
2025-10-01,typescript,118,0.55,106.8,41.5
2025-11-01,typescript,123,0.53,131.4,49.6
2025-12-01,typescript,89,0.73,238.3,49.4
2026-01-01,typescript,77,0.77,99.1,58.4
2026-02-01,typescript,54,0.81,93.5,53.7
2024-04-01,java,1000,0.23,419.8,47.7
2024-05-01,java,1000,0.26,371.7,47.2
2024-06-01,java,1000,0.3,656.3,47.3
2024-07-01,java,1000,0.11,326.9,51.7
2024-08-01,java,983,0.2,352.2,50.9
2024-09-01,java,1000,0.31,376.8,47.6
2024-10-01,java,1000,0.59,435.5,50.8
2024-11-01,java,981,0.45,290.5,48.2
2024-12-01,java,917,0.7,356.5,43.4
2025-01-01,java,905,0.49,250.4,46.6
2025-02-01,java,731,0.43,211.2,50.1
2025-03-01,java,747,0.48,184.5,45.5
2025-04-01,java,729,0.55,160.3,42.5
2025-05-01,java,582,0.56,185.4,45.4
2025-06-01,java,400,0.64,207.1,43.5
2025-07-01,java,366,0.75,173.4,52.7
2025-08-01,java,270,0.67,210.4,45.6
2025-09-01,java,278,0.84,156.3,44.6
2025-10-01,java,257,0.78,144.0,53.3
2025-11-01,java,293,0.72,217.6,52.2
2025-12-01,java,237,0.95,264.2,50.2
2026-01-01,java,193,0.88,176.2,51.8
2026-02-01,java,152,1.01,136.1,57.2
2024-04-01,c#,1000,0.38,336.1,50.0
2024-05-01,c#,1000,0.41,315.5,46.2
2024-06-01,c#,1000,0.4,317.1,49.1
2024-07-01,c#,1000,0.42,316.2,51.6
2024-08-01,c#,1000,0.35,273.2,52.9
2024-09-01,c#,1000,0.4,285.3,51.3
2024-10-01,c#,1000,0.3,259.4,52.7
2024-11-01,c#,1000,0.41,261.7,52.7
2024-12-01,c#,888,0.42,229.9,52.9
2025-01-01,c#,970,0.45,216.2,52.7
2025-02-01,c#,820,0.45,205.4,56.5
2025-03-01,c#,803,0.44,238.6,51.1
2025-04-01,c#,603,0.39,162.0,47.3
2025-05-01,c#,511,0.5,183.0,55.8
2025-06-01,c#,429,0.71,185.9,52.7
2025-07-01,c#,397,0.71,172.4,53.4
2025-08-01,c#,312,0.65,155.7,55.1
2025-09-01,c#,271,0.83,142.8,55.7
2025-10-01,c#,275,0.95,148.0,54.5
2025-11-01,c#,306,0.65,185.5,65.0
2025-12-01,c#,237,1.11,217.5,69.2
2026-01-01,c#,178,1.16,155.2,61.2
2026-02-01,c#,160,1.04,159.0,64.4
2024-04-01,php,923,0.35,409.3,42.9
2024-05-01,php,886,0.28,263.6,40.0
2024-06-01,php,751,0.27,290.3,39.0
2024-07-01,php,677,0.38,281.7,41.1
2024-08-01,php,634,0.37,721.5,41.0
2024-09-01,php,505,0.38,452.8,41.6
2024-10-01,php,531,0.31,160.6,43.5
2024-11-01,php,448,0.3,403.8,44.2
2024-12-01,php,359,0.39,197.3,45.1
2025-01-01,php,415,0.42,158.6,46.5
2025-02-01,php,295,0.44,241.6,54.9
2025-03-01,php,304,0.49,153.1,53.3
2025-04-01,php,221,0.47,137.7,49.8
2025-05-01,php,221,0.45,162.6,52.5
2025-06-01,php,156,0.38,132.1,48.1
2025-07-01,php,101,0.57,208.0,58.4
2025-08-01,php,83,0.48,153.1,60.2
2025-09-01,php,102,0.54,155.7,48.0
2025-10-01,php,91,0.77,136.3,54.9
2025-11-01,php,95,1.2,212.8,62.1
2025-12-01,php,65,1.03,149.4,78.5
2026-01-01,php,58,0.6,308.1,58.6
2026-02-01,php,44,0.84,122.8,63.6
2024-04-01,c++,1000,0.62,241.7,59.0
2024-05-01,c++,1000,0.55,239.2,56.3
2024-06-01,c++,950,1.01,258.0,59.3
2024-07-01,c++,973,0.77,241.0,58.9
2024-08-01,c++,912,0.9,226.1,61.3
2024-09-01,c++,867,1.1,215.1,61.2
2024-10-01,c++,821,1.4,243.5,60.0
2024-11-01,c++,777,1.17,204.1,60.0
2024-12-01,c++,609,0.97,168.7,56.2
2025-01-01,c++,625,1.4,189.7,62.9
2025-02-01,c++,538,1.75,193.7,68.0
2025-03-01,c++,635,1.65,181.7,61.3
2025-04-01,c++,483,2.75,244.0,67.5
2025-05-01,c++,433,2.08,211.2,67.4
2025-06-01,c++,374,2.15,230.6,69.0
2025-07-01,c++,328,2.35,230.6,69.8
2025-08-01,c++,289,2.05,213.7,72.3
2025-09-01,c++,239,2.28,212.7,71.5
2025-10-01,c++,226,2.27,268.5,64.2
2025-11-01,c++,260,1.87,368.2,75.8
2025-12-01,c++,190,2.42,627.7,81.1
2026-01-01,c++,178,2.36,670.7,79.8
2026-02-01,c++,174,2.02,209.4,78.7
2024-04-01,swift,552,0.55,327.0,52.9
2024-05-01,swift,483,0.66,390.8,54.0
2024-06-01,swift,461,0.77,420.3,49.0
2024-07-01,swift,454,0.53,364.9,52.2
2024-08-01,swift,418,0.54,332.2,55.7
2024-09-01,swift,363,0.79,394.3,61.2
2024-10-01,swift,359,0.6,363.5,60.2
2024-11-01,swift,323,0.53,251.7,52.3
2024-12-01,swift,257,0.41,233.1,51.4
2025-01-01,swift,278,0.35,215.3,54.0
2025-02-01,swift,245,0.48,210.1,56.3
2025-03-01,swift,252,0.41,165.3,50.8
2025-04-01,swift,200,0.46,151.4,50.5
2025-05-01,swift,182,0.4,166.8,53.3
2025-06-01,swift,129,0.78,265.8,58.1
2025-07-01,swift,143,0.53,217.9,59.4
2025-08-01,swift,87,0.67,272.3,52.9
2025-09-01,swift,115,1.33,614.2,53.0
2025-10-01,swift,124,1.06,292.1,58.9
2025-11-01,swift,116,0.78,193.2,51.7
2025-12-01,swift,96,1.06,179.0,61.5
2026-01-01,swift,72,0.88,118.7,50.0
2026-02-01,swift,69,1.03,96.2,37.7
2024-04-01,kotlin,582,0.74,424.1,50.5
2024-05-01,kotlin,542,0.98,587.9,50.6
2024-06-01,kotlin,426,0.81,551.7,52.1
2024-07-01,kotlin,418,0.9,426.1,50.0
2024-08-01,kotlin,431,0.83,688.4,50.8
2024-09-01,kotlin,382,1.18,573.9,46.9
2024-10-01,kotlin,357,0.9,409.5,51.8
2024-11-01,kotlin,321,0.84,311.1,51.7
2024-12-01,kotlin,273,0.84,350.6,50.9
2025-01-01,kotlin,256,0.59,305.5,53.9
2025-02-01,kotlin,244,0.77,283.3,54.1
2025-03-01,kotlin,222,0.49,150.0,45.0
2025-04-01,kotlin,206,0.64,211.1,34.5
2025-05-01,kotlin,171,0.56,127.8,42.1
2025-06-01,kotlin,140,0.7,258.7,41.4
2025-07-01,kotlin,126,0.82,247.9,54.0
2025-08-01,kotlin,104,1.23,355.7,53.8
2025-09-01,kotlin,94,1.0,437.8,41.5
2025-10-01,kotlin,83,0.88,213.0,44.6
2025-11-01,kotlin,80,0.76,133.5,50.0
2025-12-01,kotlin,58,1.22,196.4,39.7
2026-01-01,kotlin,49,0.8,118.1,49.0
2026-02-01,kotlin,47,1.21,86.8,48.9
2024-04-01,go,272,0.94,367.3,45.6
2024-05-01,go,244,1.09,598.7,48.0
2024-06-01,go,205,0.83,331.4,44.4
2024-07-01,go,232,0.76,1119.4,45.7
2024-08-01,go,182,0.46,214.3,46.2
2024-09-01,go,136,0.75,359.7,47.8
2024-10-01,go,160,0.7,320.8,42.5
2024-11-01,go,111,0.71,242.0,49.5
2024-12-01,go,103,0.81,232.8,55.3
2025-01-01,go,124,0.84,227.0,48.4
2025-02-01,go,83,1.01,178.6,54.2
2025-03-01,go,88,0.58,141.9,46.6
2025-04-01,go,59,0.81,160.8,54.2
2025-05-01,go,50,0.64,389.7,44.0
2025-06-01,go,45,0.82,154.4,51.1
2025-07-01,go,17,0.47,268.4,35.3
2025-08-01,go,38,1.16,172.8,52.6
2025-09-01,go,33,0.48,305.9,66.7
2025-10-01,go,29,0.55,291.3,48.3
2025-11-01,go,33,0.21,102.6,45.5
2025-12-01,go,33,1.7,265.0,48.5
2026-01-01,go,24,0.17,102.1,70.8
2026-02-01,go,12,1.08,106.2,66.7
2024-04-01,rust,360,0.62,402.7,63.9
2024-05-01,rust,307,0.69,408.4,65.8
2024-06-01,rust,278,0.74,333.2,64.7
2024-07-01,rust,243,0.62,414.6,58.0
2024-08-01,rust,190,0.56,259.5,65.8
2024-09-01,rust,207,0.65,225.2,60.9
2024-10-01,rust,229,0.85,317.6,62.9
2024-11-01,rust,185,0.89,251.2,63.2
2024-12-01,rust,198,0.55,218.8,62.1
2025-01-01,rust,163,0.76,182.4,68.1
2025-02-01,rust,160,0.74,204.1,66.2
2025-03-01,rust,161,1.29,180.5,68.9
2025-04-01,rust,140,1.47,212.0,62.1
2025-05-01,rust,136,1.28,283.2,72.1
2025-06-01,rust,89,0.71,131.5,58.4
2025-07-01,rust,91,1.85,150.8,60.4
2025-08-01,rust,88,1.81,205.0,67.0
2025-09-01,rust,62,2.23,162.6,58.1
2025-10-01,rust,54,3.33,180.7,72.2
2025-11-01,rust,63,1.71,149.6,71.4
2025-12-01,rust,60,1.2,119.6,56.7
2026-01-01,rust,48,1.12,119.6,85.4
2026-02-01,rust,43,0.74,103.7,67.4
2024-04-01,scala,97,0.39,157.3,63.9
2024-05-01,scala,83,0.63,220.6,55.4
2024-06-01,scala,64,0.75,211.4,51.6
2024-07-01,scala,73,0.52,159.3,43.8
2024-08-01,scala,58,0.6,194.3,53.4
2024-09-01,scala,48,0.52,141.8,47.9
2024-10-01,scala,46,0.57,139.0,60.9
2024-11-01,scala,50,0.72,130.0,68.0
2024-12-01,scala,36,0.75,116.5,63.9
2025-01-01,scala,44,0.64,137.4,65.9
2025-02-01,scala,54,0.44,98.8,63.0
2025-03-01,scala,30,0.7,95.8,66.7
2025-04-01,scala,24,0.58,81.5,50.0
2025-05-01,scala,31,0.52,114.5,58.1
2025-06-01,scala,25,0.36,106.0,68.0
2025-07-01,scala,10,0.2,90.1,60.0
2025-08-01,scala,7,0.29,109.7,42.9
2025-09-01,scala,10,0.9,97.2,30.0
2025-10-01,scala,9,1.0,118.7,33.3
2025-11-01,scala,7,0.71,86.0,42.9
2025-12-01,scala,4,2.0,98.5,50.0
2026-01-01,scala,6,2.17,103.0,50.0
2026-02-01,scala,6,0.83,70.0,50.0
2024-04-01,haskell,62,1.97,147.4,82.3
2024-05-01,haskell,52,1.65,141.6,86.5
2024-06-01,haskell,35,1.49,179.2,85.7
2024-07-01,haskell,46,1.67,132.3,65.2
2024-08-01,haskell,27,1.96,126.3,74.1
2024-09-01,haskell,26,1.69,143.4,84.6
2024-10-01,haskell,27,1.33,134.3,92.6
2024-11-01,haskell,34,1.79,140.6,85.3
2024-12-01,haskell,46,1.3,123.6,87.0
2025-01-01,haskell,30,2.1,119.1,83.3
2025-02-01,haskell,37,1.54,109.8,83.8
2025-03-01,haskell,22,2.09,179.0,90.9
2025-04-01,haskell,20,2.2,112.2,85.0
2025-05-01,haskell,31,1.19,111.2,80.6
2025-06-01,haskell,22,1.5,97.4,77.3
2025-07-01,haskell,16,2.19,131.6,93.8
2025-08-01,haskell,14,2.14,102.4,71.4
2025-09-01,haskell,14,1.5,121.6,78.6
2025-10-01,haskell,12,2.83,124.7,100.0
2025-11-01,haskell,10,1.5,145.0,100.0
2025-12-01,haskell,16,1.31,495.2,93.8
2026-01-01,haskell,4,0.25,84.8,75.0
2026-02-01,haskell,5,4.4,156.0,80.0
2024-04-01,r,1000,0.84,200.3,66.4
2024-05-01,r,1000,0.85,188.4,70.8
2024-06-01,r,935,0.58,151.2,65.0
2024-07-01,r,874,0.73,149.2,71.5
2024-08-01,r,762,0.79,148.2,71.9
2024-09-01,r,633,1.11,137.8,71.6
2024-10-01,r,664,0.86,127.9,69.9
2024-11-01,r,619,0.8,118.3,70.1
2024-12-01,r,486,1.12,117.0,70.0
2025-01-01,r,470,1.23,125.3,73.2
2025-02-01,r,442,1.38,125.4,78.3
2025-03-01,r,457,1.25,123.3,74.6
2025-04-01,r,377,1.63,131.3,73.5
2025-05-01,r,267,1.48,121.4,73.4
2025-06-01,r,244,1.51,133.6,78.3
2025-07-01,r,198,1.37,116.2,80.3
2025-08-01,r,155,1.49,136.9,69.7
2025-09-01,r,143,2.01,171.9,76.2
2025-10-01,r,175,1.37,131.1,77.7
2025-11-01,r,149,1.26,123.2,73.2
2025-12-01,r,118,1.54,132.9,77.1
2026-01-01,r,86,2.15,252.8,80.2
2026-02-01,r,93,1.89,118.8,74.2
