year_month,covid_peak,tech_layoff,ai_capability_index,llm_interest,season_m1,season_m2,season_m3,season_m4,season_m5,season_m6,season_m7,season_m8,season_m9,season_m10,season_m11,so_total_questions_lt
2022-10,0,1,0.37,0.0,0,0,0,0,0,0,0,0,0,1,0,10.873148420667984
2022-11,0,1,0.37,0.0,0,0,0,0,0,0,0,0,0,0,1,10.894997067955957
2022-12,0,1,0.48,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,10.750299580640224
2023-01,0,1,0.48,0.11764705882352941,1,0,0,0,0,0,0,0,0,0,0,10.719626402459841
2023-02,0,1,0.48,0.17647058823529413,0,1,0,0,0,0,0,0,0,0,0,10.585346257326217
2023-03,0,1,0.575,0.23529411764705882,0,0,1,0,0,0,0,0,0,0,0,10.599156550639583
2023-04,0,1,0.67,0.29411764705882354,0,0,0,1,0,0,0,0,0,0,0,10.505204516490187
2023-05,0,1,0.67,0.35294117647058826,0,0,0,0,1,0,0,0,0,0,0,10.487963186464397
2023-06,0,1,0.67,0.4117647058823529,0,0,0,0,0,1,0,0,0,0,0,10.448888500941809
2023-07,0,0,0.686,0.47058823529411764,0,0,0,0,0,0,1,0,0,0,0,10.443687495508296
2023-08,0,0,0.695,0.5294117647058824,0,0,0,0,0,0,0,1,0,0,0,10.372521962240313
2023-09,0,0,0.65,0.5882352941176471,0,0,0,0,0,0,0,0,1,0,0,10.217714180210022
2023-10,0,0,0.65,0.6470588235294118,0,0,0,0,0,0,0,0,0,1,0,10.24238541637218
2023-11,0,0,0.65,0.7058823529411765,0,0,0,0,0,0,0,0,0,0,1,10.190469379873516
2023-12,0,0,0.65,0.7647058823529411,0,0,0,0,0,0,0,0,0,0,0,10.038804849483757
2024-01,0,0,0.65,0.8235294117647058,1,0,0,0,0,0,0,0,0,0,0,10.118074601167217
2024-02,0,0,0.65,0.8823529411764706,0,1,0,0,0,0,0,0,0,0,0,10.090589332503072
2024-03,0,0,0.65,0.9411764705882353,0,0,1,0,0,0,0,0,0,0,0,10.186822690744211
2024-04,0,0,0.65,1.0,0,0,0,1,0,0,0,0,0,0,0,10.186822690744211
2024-05,0,0,0.8375,1.0,0,0,0,0,1,0,0,0,0,0,0,10.186822690744211
2024-06,0,0,0.9,1.0,0,0,0,0,0,1,0,0,0,0,0,10.186822690744211
2024-07,0,0,0.9,1.0,0,0,0,0,0,0,1,0,0,0,0,10.186822690744211
2024-08,0,0,0.9,1.0,0,0,0,0,0,0,0,1,0,0,0,10.186822690744211
2024-09,0,0,0.9120000000000001,1.0,0,0,0,0,0,0,0,0,1,0,0,10.186822690744211
2024-10,0,0,0.92,1.0,0,0,0,0,0,0,0,0,0,1,0,10.186822690744211
2024-11,0,0,0.92,1.0,0,0,0,0,0,0,0,0,0,0,1,10.186822690744211
2024-12,0,0,0.9399999999999998,1.0,0,0,0,0,0,0,0,0,0,0,0,10.186822690744211
2025-01,0,0,0.94,1.0,1,0,0,0,0,0,0,0,0,0,0,10.186822690744211
2025-02,0,0,0.9475,1.0,0,1,0,0,0,0,0,0,0,0,0,10.186822690744211
2025-03,0,0,0.97,1.0,0,0,1,0,0,0,0,0,0,0,0,10.186822690744211
2025-04,0,0,0.97,1.0,0,0,0,1,0,0,0,0,0,0,0,10.186822690744211
2025-05,0,0,0.97,1.0,0,0,0,0,1,0,0,0,0,0,0,10.186822690744211
2025-06,0,0,0.97,1.0,0,0,0,0,0,1,0,0,0,0,0,10.186822690744211
2025-07,0,0,0.97,1.0,0,0,0,0,0,0,1,0,0,0,0,10.186822690744211
2025-08,0,0,0.97,1.0,0,0,0,0,0,0,0,1,0,0,0,10.186822690744211
2025-09,0,0,0.97,1.0,0,0,0,0,0,0,0,0,1,0,0,10.186822690744211
2025-10,0,0,0.97,1.0,0,0,0,0,0,0,0,0,0,1,0,10.186822690744211
2025-11,0,0,0.97,1.0,0,0,0,0,0,0,0,0,0,0,1,10.186822690744211
2025-12,0,0,0.97,1.0,0,0,0,0,0,0,0,0,0,0,0,10.186822690744211
2026-01,0,0,0.97,1.0,1,0,0,0,0,0,0,0,0,0,0,10.186822690744211
2026-02,0,0,0.97,1.0,0,1,0,0,0,0,0,0,0,0,0,10.186822690744211
