开始解析 /home/node/.openclaw/workspaces/ou_061694b4b8257fa782c21a959956256d/stackoverflow_research/data/raw/extracted/Posts.xml
文件大小: 96.8 GB
  已处理 199,702 条 | 问题:85,176 回答:114,526 | 耗时:741s
  已处理 10,586,916 条 | 问题:4,518,994 回答:6,067,922 | 耗时:1420s
  已处理 10,786,764 条 | 问题:4,605,941 回答:6,180,823 | 耗时:1434s
  已处理 10,986,575 条 | 问题:4,692,529 回答:6,294,046 | 耗时:1449s
  已处理 11,186,380 条 | 问题:4,778,779 回答:6,407,601 | 耗时:1465s
  已处理 11,386,146 条 | 问题:4,865,122 回答:6,521,024 | 耗时:1480s
  已处理 11,585,986 条 | 问题:4,950,999 回答:6,634,987 | 耗时:1495s
  已处理 11,785,782 条 | 问题:5,036,926 回答:6,748,856 | 耗时:1510s
  已处理 11,985,588 条 | 问题:5,123,433 回答:6,862,155 | 耗时:1526s
  已处理 12,185,394 条 | 问题:5,209,577 回答:6,975,817 | 耗时:1541s
  已处理 12,385,196 条 | 问题:5,295,711 回答:7,089,485 | 耗时:1556s
  已处理 12,585,062 条 | 问题:5,382,289 回答:7,202,773 | 耗时:1572s
  已处理 12,784,866 条 | 问题:5,468,993 回答:7,315,873 | 耗时:1588s
  已处理 12,984,664 条 | 问题:5,554,181 回答:7,430,483 | 耗时:1603s
  已处理 13,184,454 条 | 问题:5,640,624 回答:7,543,830 | 耗时:1619s
  已处理 13,384,256 条 | 问题:5,727,406 回答:7,656,850 | 耗时:1635s
  已处理 13,584,070 条 | 问题:5,815,183 回答:7,768,887 | 耗时:1651s
  已处理 13,783,912 条 | 问题:5,903,169 回答:7,880,743 | 耗时:1667s
  已处理 13,983,756 条 | 问题:5,990,728 回答:7,993,028 | 耗时:1683s
  已处理 14,183,566 条 | 问题:6,079,032 回答:8,104,534 | 耗时:1699s
  已处理 14,383,420 条 | 问题:6,166,425 回答:8,216,995 | 耗时:1715s
  已处理 14,583,244 条 | 问题:6,253,279 回答:8,329,965 | 耗时:1732s
  已处理 14,783,068 条 | 问题:6,340,793 回答:8,442,275 | 耗时:1748s
  已处理 14,982,895 条 | 问题:6,428,071 回答:8,554,824 | 耗时:1764s
  已处理 15,182,718 条 | 问题:6,514,743 回答:8,667,975 | 耗时:1781s
  已处理 15,382,558 条 | 问题:6,600,934 回答:8,781,624 | 耗时:1797s
  已处理 15,582,406 条 | 问题:6,687,417 回答:8,894,989 | 耗时:1814s
  已处理 15,782,242 条 | 问题:6,774,224 回答:9,008,018 | 耗时:1831s
  已处理 15,982,050 条 | 问题:6,862,001 回答:9,120,049 | 耗时:1848s
  已处理 16,181,866 条 | 问题:6,950,322 回答:9,231,544 | 耗时:1865s
  已处理 16,381,710 条 | 问题:7,037,985 回答:9,343,725 | 耗时:1881s
  已处理 16,581,562 条 | 问题:7,124,821 回答:9,456,741 | 耗时:1898s
  已处理 16,781,422 条 | 问题:7,212,274 回答:9,569,148 | 耗时:1915s
  已处理 16,981,280 条 | 问题:7,300,846 回答:9,680,434 | 耗时:1932s
  已处理 17,181,114 条 | 问题:7,390,191 回答:9,790,923 | 耗时:1950s
  已处理 17,380,982 条 | 问题:7,478,795 回答:9,902,187 | 耗时:1967s
  已处理 17,580,858 条 | 问题:7,567,194 回答:10,013,664 | 耗时:1984s
  已处理 17,780,678 条 | 问题:7,655,340 回答:10,125,338 | 耗时:2002s
  已处理 17,980,494 条 | 问题:7,743,111 回答:10,237,383 | 耗时:2019s
  已处理 18,180,362 条 | 问题:7,830,515 回答:10,349,847 | 耗时:2037s
  已处理 18,380,200 条 | 问题:7,917,966 回答:10,462,234 | 耗时:2054s
  已处理 18,580,072 条 | 问题:8,003,862 回答:10,576,210 | 耗时:2072s
  已处理 18,779,954 条 | 问题:8,089,823 回答:10,690,131 | 耗时:2089s
  已处理 18,979,826 条 | 问题:8,177,121 回答:10,802,705 | 耗时:2107s
  已处理 19,179,676 条 | 问题:8,265,333 回答:10,914,343 | 耗时:2125s
  已处理 19,379,536 条 | 问题:8,353,608 回答:11,025,928 | 耗时:2143s
  已处理 19,579,361 条 | 问题:8,440,779 回答:11,138,582 | 耗时:2161s
  已处理 19,779,177 条 | 问题:8,527,866 回答:11,251,311 | 耗时:2180s
  已处理 19,979,045 条 | 问题:8,615,531 回答:11,363,514 | 耗时:2198s
  已处理 20,178,843 条 | 问题:8,704,403 回答:11,474,440 | 耗时:2216s
  已处理 20,378,663 条 | 问题:8,804,000 回答:11,574,663 | 耗时:2235s
  已处理 20,578,503 条 | 问题:8,904,807 回答:11,673,696 | 耗时:2254s
  已处理 20,778,325 条 | 问题:9,004,989 回答:11,773,336 | 耗时:2273s
  已处理 20,978,109 条 | 问题:9,103,731 回答:11,874,378 | 耗时:2292s
  已处理 21,177,833 条 | 问题:9,201,853 回答:11,975,980 | 耗时:2311s
  已处理 21,377,625 条 | 问题:9,300,490 回答:12,077,135 | 耗时:2331s
  已处理 21,577,457 条 | 问题:9,398,140 回答:12,179,317 | 耗时:2350s
  已处理 21,777,239 条 | 问题:9,496,779 回答:12,280,460 | 耗时:2370s

✅ 解析完成！耗时 2387s
   问题数: 9,554,774
   回答数: 12,333,268
   Parquet大小: 0.49 GB

正在删除原始XML（97GB）...
✅ XML已删除，空间释放！
Filesystem      Size  Used Avail Use% Mounted on
/dev/vdc        493G  248G  220G  53% /home/node

